title	citation	bulletPoints	image	authors	date	keywords	link
Length-based risk analysis of management options for the southern Florida USA multispecies coral reef fish fishery	Ault, J. S., Smith, S. G., Johnson, M. W., Grove, L. J. W., Bohnsack, J. A., DiNardo, G. T., ... & Acosta, A. (2022). Length-based risk analysis of management options for the southern Florida USA multispecies coral reef fish fishery. Fisheries research, 249, 106210.	Managment of commercial and recreational reef fish species, sustainibility metrics, high exploitation pressures under buisness as usual management regime	https://drive.google.com/file/d/15EtTFXmOsmXmoLq8OpZBnw0MXG3pZWzW/view?usp=drive_link	Jerald Ault, Steven Smith, Matthew Johnson, Laura Jay Grove, James Bohnsack, Gerard DiNardo, Caroline McLaughlin, Nelson Ehrhardt, Vanessa McDonough, Michael Seki, Steven Miller, Jiangang Luo, Jeremiah Blondeau, Michael Crosby, Glenn Simpson, Mark Monaco, Clayton Pollock, Michael Feeley, Alejandro Acosta	2022-05-01	Florida, fishing pressure, commercial, recreational, management, overfishing, snapper, grouper, hogfish, grunt, sustainability, fishery management council, size, length, exploitation	https://doi.org/10.1016/j.fishres.2021.106210
A National Status Report on United States Coral Reefs Based on 2012–2018 Data From National Oceanic and Atmospheric Administration’s National Coral Reef Monitoring Program	Towle, E. K., Donovan, E. C., Kelsey, H., Allen, M. E., Barkley, H., Blondeau, J., ... & Williams, I. D. (2022). A national status report on United States coral reefs based on 2012–2018 data from National Oceanic and Atmospheric Administration’s National Coral Reef Monitoring Program. Frontiers in Marine Science, 8, 812216.	Approachable synthesis of NCRMP data, analysis of benthic, fish, climate, and socioeconomic indicators, ecosystem score of US coral reefs	https://drive.google.com/file/d/17wOu3HYKFx79vlMdFb8XbTldAHI4zmcv/view?usp=drive_link	Erica Towle, Caroline Donovan, Heath Kelsey, Mary Allen, Hannah Barkley, Jeremiah Blondeau, Russell Brainard, Annie Carew, Courtney Couch, Maria Dillard, Mark Eakin, Kimberly Edwards, Peter Edwards, Ian Enochs, Chloe Fleming, Alexandra Fries, Erick Geiger, Laura Jay Grove, Sarah Groves, Matthew Gorstein, Adel Heenan, Matthew Johnson, Justine Kimball, Jennifer Koss, Tye Kindinger, Arielle Levine, Derek Manzello, Nathan Miller, Thomas Oliver, Jennifer Samson, Dione Swanson, Bernardo Vargas-Ángel, Shay Viehman, Ivor Williams	2022-02-02	Benthic cover, Reef fish, Heat stress, Ocean acidification, Socioeconomics, Coral mortality, Sustainability, Jurisdiction scores, Climate impact	https://doi.org/10.3389/fmars.2021.812216
Length-based risk analysis for assessing sustainability of data-limited tropical reef fisheries	Ault, J. S., Smith, S. G., Bohnsack, J. A., Luo, J., Stevens, M. H., DiNardo, G. T., ... & Bryan, D. R. (2019). Length-based risk analysis for assessing sustainability of data-limited tropical reef fisheries. ICES Journal of Marine Science, 76(1), 165-180.	Evaulation of stock sustainability status, creates model reflective of actual fishing selectivity process, focuses on target comercial and recreational species in Florida 	https://drive.google.com/file/d/161_vQ1WC8BVN9eWP1xE0oYAQ-pt5xsJ6/view?usp=drive_link	Jerald Ault, Steven Smith, James Bohnsack, Jiangang Luo, Molly Stevens, Gerard DiNardo, Matthew Johnson, David Bryan	2019-01-01	Snapper, grouper, hogfish, SEDAR, stock, model, length, age, maturity, management, stock assessment, Florida	https://doi.org/10.1093/icesjms/fsy123
Towards fishery-independent biomass estimation for Hawaiian Islands deepwater snappers	Ault, J. S., Smith, S. G., Richards, B. L., Yau, A. J., Langseth, B. J., O’Malley, J. M., ... & DiNardo, G. T. (2018). Towards fishery-independent biomass estimation for Hawaiian Islands deepwater snappers. Fisheries Research, 208, 321-328.	Deep 7 bottomfish complex, Development of survey and modeling methodology, First implementation of island-wide fishery independent survey	https://drive.google.com/file/d/1h6ZyOODvVwcTngkAyUmbGKWx8fdSHg1b/view?usp=drive_link	Jerald Ault, Steven Smith, Benjamin Richards, Annie Yau, Brian Langseth, Joseph O’Malley, Christofer Boggs, Michael Seki, Gerard DiNardo	2018-12-01	Hawaii, deep7, snapper, grouper, fishery dependent, pacific, hook and line, camera	https://doi.org/10.1016/j.fishres.2018.08.012
Regional differences in an established population of invasive Indo-Pacific lionfish (Pterois volitans and P. miles) in south Florida	Bryan, D. R., Blondeau, J., Siana, A., & Ault, J. S. (2018). Regional differences in an established population of invasive Indo-Pacific lionfish (Pterois volitans and P. miles) in south Florida. PeerJ, 6, e5700.	Lionfish still well established in Florida, Comparatively stable and low population in SE Florida, Low density in DRTO 2016, Florida population stable after initial increase 	https://drive.google.com/file/d/1hboVsM5VXUHAU_gHOB7afJweBEkjK0m5/view?usp=drive_link	David Bryan, Jeremiah Blondeau, Ashley Siana, Jerald Ault	2018-10-10	RVC, lionfish, SE Florida, southeast Florida, keys, Dry Tortugas, predation, invasive, invasive species, 	https://doi.org/10.7717/peerj.5700
Accounting for detection gaps when evaluating reef fish habitat use in an acoustic array	Farmer, N. A., & Ault, J. S. (2018). Accounting for detection gaps when evaluating reef fish habitat use in an acoustic array. Canadian journal of fisheries and aquatic sciences, 75(3), 375-388.	Acoustic monitoring in DRTO, Habitat preferences of exploited species, Findings aid fishery sampling and MPA design 		Nicholas Farmer, Jerald Ault	2017-04-17	Florida, Dry Tortugas, acoustic, fishery independant, snapper, grouper, habitat, relief, mutton, red grouper, black grouper, yellowtail snapper	https://doi.org/10.1139/cjfas-2016-0494
Non‐linear thresholds characterize the relationship between reef fishes and mangrove habitat	Shideler, G. S., Araújo, R. J., Walker, B. K., Blondeau, J., & Serafy, J. E. (2017). Non‐linear thresholds characterize the relationship between reef fishes and mangrove habitat. Ecosphere, 8(9), e01943.	Nearby mangrove habitat = greater reef fish diversity, mangroves most influential habitat, many species associated with mangrove forest extent 	https://drive.google.com/file/d/1Fo4MH6AG_piLgjnPjmZh3-HkxiNsXZKO/view?usp=drive_link	Geoffrey Shideler, Rafael Araújo, Brian Walker, Jeremiah Blondeau, Joseph Serafy	2017-09-26	Mangrove, habitat, diversity, richness, urbanization, urban, anthropogenic, GAM, general additive model, Florida, human, seagrass, 	https://doi.org/10.1002/ecs2.1943
Feasibility of a regionwide probability survey for coral reef fish in Puerto Rico and the US Virgin Islands	Bryan, D. R., Smith, S. G., Ault, J. S., Feeley, M. W., & Menza, C. W. (2016). Feasibility of a regionwide probability survey for coral reef fish in Puerto Rico and the US Virgin Islands. Marine and coastal fisheries, 8(1), 135-146.	Implementation of fishery independent survey in the US Caribbean, sample sizes likely need to double for effective park managment, Stratification by depth and habitat produced more efficient sample design	https://drive.google.com/file/d/1kO6UYmkT1IHdr1HGVKG8LcUZuitRefKR/view?usp=drive_link	David Bryan, Steven Smith, Jerald Ault, Michael Feeley, Charles Menza	2016-01-01	USVI, St. John, St. Thomas, St. Croix, Buck Island, Puerto Rico, survey design, mapping, stratification, habitat, strata, protected area, management	https://doi.org/10.1080/19425120.2015.1082520
Transport and connectivity modeling of larval permit from an observed spawning aggregation in the Dry Tortugas, Florida	Bryan, D. R., Luo, J., Ault, J. S., McClellan, D. B., Smith, S. G., Snodgrass, D., & Larkin, M. F. (2015). Transport and connectivity modeling of larval permit from an observed spawning aggregation in the Dry Tortugas, Florida. Environmental Biology of Fishes, 98, 2263-2276.	Uses Hybrid Community Ocean Model (HYCOM), High retention of recruits in Florida, Large numbers of adults observed in DRTO 	https://drive.google.com/file/d/1pieo04F7reVwcNGPmJKupIo4oy6KCQ-W/view?usp=drive_link	David Bryan, Jiangang Luo, Jerald Ault, David McClellan, Steven Smith, Derke Snodgrass, Michael Larkin	2015-09-15	Permit, Dry Tortugas, Belize, Cuba, spawning, current, larvae, larval transport, Florida, management	https://doi.org/10.1007/s10641-015-0445-x
Comparative Demography of a Coral Reef Fish: Vertical and Horizontal Spatial Variability in Bicolor Damselfish (Stegastes partitus) Traits, Survival, and Reproduction	Goldstein, E. D. (2015). Comparative Demography of a Coral Reef Fish: Vertical and Horizontal Spatial Variability in Bicolor Damselfish (Stegastes partitus) Traits, Survival, and Reproduction (Doctoral dissertation, University of Miami).	Dissertation, RVC data used to model population	https://drive.google.com/file/d/1a3EQF8J4FZPbDk3PEr9pXCnq7EJ8DuII/view?usp=drive_link	Esther Diane Goldstein	2015-12-01	RVC, damselfish, herbivore, herbivory, Florida, Florida Keys, bicolor damselfish, habitat, stratification, relief, distribution	https://scholarship.miami.edu/esploro/outputs/doctoral/Comparative-Demography-of-a-Coral-Reef/991031447226402976/filesAndLinks?index=0
Southeast Florida coral reef fishery-independent baseline assessment, 2012-2014 summary report	Kilfoyle, K., Walker, B. K., Fisco, D. P., Smith, S. G., & Spieler, R. E. (2015). Southeast Florida coral reef fishery-independent baseline assessment, 2012-2014 summary report.	Miami-dade, Martin, and Palm Beach Counties, synopsis of reef fish community data in the northern FRT	https://drive.google.com/file/d/1lBYYkSQGdGUTbnlYRmgHAehhjSiuadCT/view?usp=drive_link	Kirk Kilfoyle, Brian Walker, Dana Fisco, Steven Smith, Richard Spieler	2015-08-31	Southeast Florida, Miami-Dade, Miami, Palm Beach, Martin, SEFCRI, distribution, habitat	 https://repository.library.noaa.gov/view/noaa/974/noaa_974_DS1.pdf
A new compact rotating video system for rapid survey of reef fish populations	Koenig, C. C., & Stallings, C. D. (2015). A new compact rotating video system for rapid survey of reef fish populations. Bulletin of Marine Science, 91(3), 365-373.	Submersible Rotating Video System (SRV), Goal to simulate Bohnsack-Bannerot fish-survey method, inexpensive research tool implementations, surveying species with diver avoidance behaviors	https://drive.google.com/file/d/1N6keYvB7aXqM9ORghXO1uhq7T8rKsSje/view?usp=drive_link	Christopher Koenig, Christopher Stallings	2015-07-01	RVC, camera, video, methodology, snapper, grouper, survey design, Gulf of Mexico, Alabama, SRV, submersible rotating video system	 https://doi.org/10.5343/bms.2015.1010
Indicators for assessing the ecological dynamics and sustainability of southern Florida’s coral reef and coastal fisheries.	Ault, J. S., Smith, S. G., Browder, J. A., Nuttle, W., Franklin, E. C., Luo, J., ... & Bohnsack, J. A. (2014). Indicators for assessing the ecological dynamics and sustainability of southern Florida's coral reef and coastal fisheries. Ecological Indicators, 44, 164-172.	Relationship between stock productivity and CPUE + average length, average length indicator is useful in data poor situations, fishing has fundamentally altered the ecological structure of the fish community, shift towards EBFM is necessary	https://drive.google.com/file/d/18XyVOcroDr2vdge0oZEL_FI7a671_3Ls/view?usp=drive_link	Jerald Ault, Steven Smith, Joan Browder, William Nuttle, Jiangang Luo, Erik Franklin, Gerard Dinardo, James Bohnsack	2014-09-01	Management, indicator, habitat, CPUE, cost per unit effort, length, size, community, EBFM, ecosystem based management, Florida, commercial, recreational, socioeconomic, economic, fishing, economy, charter 	https://doi.org/10.1016/j.ecolind.2014.04.013
Assessing coral reef fish population and community changes in response to marine reserves in the Dry Tortugas, Florida, USA.	Ault, J. S., Smith, S. G., Bohnsack, J. A., Luo, J., Zurcher, N., McClellan, D. B., ... & Causey, B. (2013). Assessing coral reef fish population and community changes in response to marine reserves in the Dry Tortugas, Florida, USA. Fisheries Research, 144, 28-37.	Data before and after creation of DRTO NTMRs, Significant changes in population occupancy + density + abundance within management zones, NTMRs help to build sustainable fisheries	https://drive.google.com/file/d/1MorZdjkZE8UhHwr5LHb9CyrS1IZPhLu-/view?usp=drive_link	Jerald Ault, Steven Smith, James Bohnsack, Jiangang Luo, Natalia Zurcher, David McClellan, Tracy Ziegler, David Hallac, Matt Patterson, Michael Feeley, Benjamin Ruttenberg, John Hunt, Dan Kimball, Billy Causey	2013-07-01	Dry Tortugas, Marine reserve, no take marine reserve, no take, managment, national park, community, non-target species, fishing, TNER, TNSR, RNA, grouper, snapper, hogfish	https://doi.org/10.1016/j.fishres.2012.10.007
A cooperative multiagency reef fish monitoring protocol for the U.S. Virgin Islands coral reef ecosystem	Bryan, D. R., A. J. Atkinson, J. S. Ault, M. E. Brandt, J. A. Bohnsack, M. W. Feeley, M. E. Patterson, B. I. Ruttenberg, S. G. Smith, B. D. Witcher. (2013) A cooperative multiagency reef fish monitoring protocol for the U.S. Virgin Islands coral reef ecosystem. Natural Resource Report NPS/SFCN/NRR—2013/672. National Park Service, Fort Collins, Colorado.	Methods for the monitoring/assessment of reef fish in the USVI	https://drive.google.com/file/d/1SNgGG85yUeAG64s5ymKpi73OrEhopLNQ/view?usp=drive_link	David Bryan, Andrea Atkinson, Jerald Ault, Marilyn Brandt, James Bohnsack, Michael Feeley, Matt Patterson, Ben Ruttenberg, Steven Smith, Brian Witcher	2013-06-01	USVI, St. John, St. Thomas, St. Croix, Buck Island, survey design, mapping, stratification, habitat, strata, protected area, management, protocol	https://sedarweb.org/documents/s35-rd01-a-cooperative-multiagency-reef-fish-monitoring-protocol-for-the-u-s-virgin-islands-coral-reef-ecosystem-v-1-00/
Status of reef fish resources of the Tortugas region based on fishery-independent visual and trap survey assessments	Bryan, D. R., Atkinson, A. J., Ault, J. S., Brandt, M. E., Bohnsack, J. A., Feeley, M. W., Patterson, M. E., Ruttenberg, B. I., Smith, S. G., & Witcher, B. D. (2013). *A cooperative multiagency reef fish monitoring protocol for the U.S. Virgin Islands coral reef ecosystem* (v. 1.00). National Park Service, Natural Resources Report NPS/SFCN/NRR-2013/672.	Analysis of trends pre/post MPA implementation, Increases of principal fishery species in protected areas, DRTO trends relative to greater FRT 	https://drive.google.com/file/d/1KkSoqkWZpzwjXpqBwelzDHAzmcYfd9Ts/view?usp=drive_link	Jerald Ault, Steven Smith, Ted Switzer, James Bohnsack, Matt Patterson, Michael Feeley, David McClellan, Benjamin Ruttenberg, David Hallac, Tracy Ziegler, John Hunt	2012-10-01	Dry Tortugas, Marine reserve, no take marine reserve, no take, management, national park, community, non-target species, fishing, TNER, TNSR, RNA, grouper, snapper, hogfish, trap survey, RVC, MPA, 	https://www.researchgate.net/publication/265652617_Status_of_reef_fish_resources_of_the_Tortugas_region_based_on_fishery-independent_visual_and_trap_survey_assessments
Rapid Invasion of Indo-Pacific Lionfishes (Pterois Volitans and Pterois Miles) in the Florida Keys, USA: Evidence from Multiple Pre- and Post-Invasion Data Sets	Ruttenberg, B. I., Schofield, P. J., Akins, J. L., Acosta, A., Feeley, M. W., Blondeau, J., ... & Ault, J. S. (2012). Rapid invasion of Indo-Pacific lionfishes (Pterois volitans and Pterois miles) in the Florida Keys, USA: evidence from multiple pre-and post-invasion data sets. Bulletin of Marine Science, 88(4), 1051-1059.	Monitoring the lionfish boom using RVC and REEF data, Quantification of the invasion of lionfishes in a new areas, Key pop. metrics increase three- to six-fold between 2010 and 2011 alone	https://drive.google.com/file/d/1atPWJB3P2tviplpTOObEQwXTeRyv4AZX/view?usp=drive_link	Benjamin Ruttenberg, Pamela Schofield, J Lad Akins, Alejandro Acosta, Michael Feeley, Jeremiah Blondeau, Steven Smith, Jerald Ault	2012-10-01	RVC, REEF, Lionfish, Florida, Florida Keys, invasive species, invasive, disruption	https://doi.org/10.5343/bms.2011.1108
